195.76.181.177 - - "2017-03-18 00:00:04" http://edicions.uib.cat/ojs/index.php/CIRUGIA/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:51.0) Gecko/20100101 Firefox/51.0"
136.243.103.153 bot - "2017-03-18 00:57:29" http://enginy.uib.es/index.php/enginy/article/view/43 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:57:41" http://enginy.uib.es/index.php/enginy/article/download/43/26 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:57:45" http://enginy.uib.es/index.php/enginy/article/view/8 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:57:57" http://enginy.uib.es/index.php/enginy/article/download/8/70 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:57:59" http://enginy.uib.es/index.php/enginy/article/view/60 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:12" http://enginy.uib.es/index.php/enginy/article/download/60/43 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:15" http://enginy.uib.es/index.php/enginy/article/view/76 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:28" http://enginy.uib.es/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:31" http://enginy.uib.es/index.php/enginy/article/view/148 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:43" http://enginy.uib.es/index.php/enginy/article/download/148/124 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 00:58:47" http://enginy.uib.es/index.php/enginy/article/view/32 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
