66.249.66.10 bot - "2016-02-19 04:43:24" http://edicions.uib.cat/ojs/index.php/enginy/article/download/10/72 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.193 bot - "2016-02-19 04:43:41" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:44:10" http://enginy.uib.es/index.php/Curs_OJS/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:44:20" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:44:34" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:45:33" http://edicions.uib.cat/ojs/index.php/enginy/article/download/11/74 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:46:16" http://edicions.uib.cat/ojs/index.php/enginy/article/download/60/43 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.87 bot - "2016-02-19 04:49:06" http://enginy.uib.es/index.php/enginy/article/download/92/115 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:49:48" http://edicions.uib.cat/ojs/index.php/enginy/article/download/84/63 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:52:55" http://enginy.uib.es/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:53:03" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:53:58" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.188 bot - "2016-02-19 04:54:05" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.10 bot - "2016-02-19 04:55:31" http://edicions.uib.cat/ojs/index.php/enginy/article/download/91/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:55:39" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 04:55:39" http://edicions.uib.cat/ojs/index.php/enginy/article/download/37/21 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 04:58:38" http://enginy.uib.es/index.php/crtc/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 05:01:27" http://edicions.uib.cat/ojs/index.php/enginy/article/download/98/116 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.78.80 bot - "2016-02-19 05:06:43" http://enginy.uib.es/index.php/enginy/article/download/59/41 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 05:09:20" http://edicions.uib.cat/ojs/index.php/Curs_OJS/issue/view/18 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 05:15:59" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.66.6 bot - "2016-02-19 05:16:41" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
