81.209.177.189 - - "2018-01-21 23:26:17" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:27:49" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/366 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
200.55.184.76 - - "2018-01-21 23:30:10" http://edicions.uib.cat/ojs/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0"
81.209.177.189 - - "2018-01-21 23:30:27" http://edicions.uib.cat/ojs/index.php/Materialidades/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:31:51" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:34:23" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:35:00" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/376 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:35:28" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:37:19" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/376 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:38:07" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:38:22" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/154 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:38:44" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/369 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:38:54" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:39:01" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/158 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:39:30" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/368 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:40:17" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/133 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:40:35" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/MATS%204 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:41:11" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:41:27" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/133 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:41:53" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/123 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:44:44" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:44:59" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/40 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
66.249.64.18 bot - "2018-01-21 23:44:59" http://enginy.uib.es/index.php/enginy/article/download/11/74 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
54.183.130.127 - - "2018-01-21 23:45:18" http://edicions.uib.cat/ojs/index.php/surgery/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
81.209.177.189 - - "2018-01-21 23:45:31" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:45:52" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/160 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:46:04" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/162 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:46:51" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/162 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:47:19" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:47:40" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:47:50" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/Mats2 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:48:08" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:49:37" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/339 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:50:34" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/337 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:51:38" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:51:49" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/337 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:52:45" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:52:56" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/366 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:54:50" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/377 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:55:44" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/7 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:56:30" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/134 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:57:58" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/5 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.136 - - "2018-01-21 23:58:08" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/8 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:58:40" http://edicions.uib.cat/ojs/index.php/Eduhisedu/index 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
81.209.177.189 - - "2018-01-21 23:59:31" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/131 200 "netEstate NE Crawler (+http://www.website-datenbank.de/)"
