46.229.168.68 - - "2018-03-09 03:01:47" http://edicions.uib.cat/ojs/index.php/enginy/article/download/76/55 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.71 - - "2018-03-09 03:01:59" http://edicions.uib.cat/ojs/index.php/Materialidades/issue/view/52 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.80 - - "2018-03-09 03:02:34" http://edicions.uib.cat/ojs/index.php/enginy/article/view/94 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:02:51" http://edicions.uib.cat/ojs/index.php/enginy/article/view/30 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.80 - - "2018-03-09 03:02:59" http://edicions.uib.cat/ojs/index.php/enginy/article/view/33 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:03:05" http://edicions.uib.cat/ojs/index.php/enginy/article/view/30 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.76 - - "2018-03-09 03:03:23" http://edicions.uib.cat/ojs/index.php/enginy/article/view/4 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.76 - - "2018-03-09 03:03:24" http://edicions.uib.cat/ojs/index.php/enginy/article/view/4 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:03:25" http://edicions.uib.cat/ojs/index.php/enginy/article/view/30 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.76 - - "2018-03-09 03:03:33" http://edicions.uib.cat/ojs/index.php/enginy/article/download/77/56 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2018-03-09 03:03:47" http://edicions.uib.cat/ojs/index.php/enginy/article/download/64/47 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.72 - - "2018-03-09 03:04:32" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.72 - - "2018-03-09 03:04:45" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.72 - - "2018-03-09 03:04:59" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/336 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.74 - - "2018-03-09 03:05:38" http://edicions.uib.cat/ojs/index.php/enginy/issue/view/11 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:06:29" http://edicions.uib.cat/ojs/index.php/enginy/article/view/27 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:06:29" http://edicions.uib.cat/ojs/index.php/enginy/article/view/27 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.70 - - "2018-03-09 03:06:42" http://edicions.uib.cat/ojs/index.php/enginy/article/view/83 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:07:44" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/332 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.78 - - "2018-03-09 03:07:50" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/332 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.74 - - "2018-03-09 03:08:26" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.74 - - "2018-03-09 03:08:39" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.72 - - "2018-03-09 03:08:42" http://edicions.uib.cat/ojs/index.php/enginy/article/view/63 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
46.229.168.74 - - "2018-03-09 03:08:53" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/374 200 "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
